counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,0,1,39,605.2,153.8,64
1,A,9828,1,2,39,605.2,103.8,30
1,A,9828,0,3,39,605.2,153.8,64
1,A,9828,1,4,39,605.2,103.8,30
1,A,9828,7,5,39,605.2,153.8,64
1,A,9828,3,6,39,605.2,103.8,30
1,A,9828,26,7,39,605.2,153.8,65
1,A,9828,20,8,39,605.2,103.8,31
1,A,9828,92,9,39,605.2,153.8,67
1,A,9828,71,10,39,605.2,103.8,35
1,A,9828,30,11,39,605.2,153.8,65
1,A,9828,28,12,39,605.2,103.8,32
2,A,478,1,1,39,605.2,153.8,64
2,A,478,0,2,39,605.2,103.8,30
2,A,478,0,3,39,605.2,153.8,64
2,A,478,1,4,39,605.2,103.8,30
2,A,478,1,5,39,605.2,153.8,64
2,A,478,0,6,39,605.2,103.8,30
2,A,478,1,7,39,605.2,153.8,65
2,A,478,1,8,39,605.2,103.8,31
2,A,478,7,9,39,605.2,153.8,67
2,A,478,5,10,39,605.2,103.8,35
2,A,478,6,11,39,605.2,153.8,65
2,A,478,4,12,39,605.2,103.8,32
3,A,16588,0,1,39,605.2,153.8,64
3,A,16588,1,2,39,605.2,103.8,30
3,A,16588,1,3,39,605.2,153.8,64
3,A,16588,0,4,39,605.2,103.8,30
3,A,16588,15,5,39,605.2,153.8,64
3,A,16588,12,6,39,605.2,103.8,30
3,A,16588,48,7,39,605.2,153.8,65
3,A,16588,38,8,39,605.2,103.8,31
3,A,16588,12,9,39,605.2,153.8,67
3,A,16588,9,10,39,605.2,103.8,35
3,A,16588,5,11,39,605.2,153.8,65
3,A,16588,3,12,39,605.2,103.8,32
4,A,6557,6,1,39,605.2,153.8,64
4,A,6557,4,2,39,605.2,103.8,30
4,A,6557,15,3,39,605.2,153.8,64
4,A,6557,10,4,39,605.2,103.8,30
4,A,6557,8,5,39,605.2,153.8,64
4,A,6557,6,6,39,605.2,103.8,30
4,A,6557,13,7,39,605.2,153.8,65
4,A,6557,10,8,39,605.2,103.8,31
4,A,6557,15,9,39,605.2,153.8,67
4,A,6557,12,10,39,605.2,103.8,35
4,A,6557,8,11,39,605.2,153.8,65
4,A,6557,7,12,39,605.2,103.8,32
5,A,2516,0,1,39,605.2,153.8,64
5,A,2516,1,2,39,605.2,103.8,30
5,A,2516,1,3,39,605.2,153.8,64
5,A,2516,1,4,39,605.2,103.8,30
5,A,2516,7,5,39,605.2,153.8,64
5,A,2516,5,6,39,605.2,103.8,30
5,A,2516,18,7,39,605.2,153.8,65
5,A,2516,12,8,39,605.2,103.8,31
5,A,2516,12,9,39,605.2,153.8,67
5,A,2516,9,10,39,605.2,103.8,35
5,A,2516,5,11,39,605.2,153.8,65
5,A,2516,5,12,39,605.2,103.8,32
6,A,1119,0,1,39,605.2,153.8,64
6,A,1119,1,2,39,605.2,103.8,30
6,A,1119,1,3,39,605.2,153.8,64
6,A,1119,1,4,39,605.2,103.8,30
6,A,1119,2,5,39,605.2,153.8,64
6,A,1119,1,6,39,605.2,103.8,30
6,A,1119,2,7,39,605.2,153.8,65
6,A,1119,2,8,39,605.2,103.8,31
6,A,1119,17,9,39,605.2,153.8,67
6,A,1119,20,10,39,605.2,103.8,35
6,A,1119,19,11,39,605.2,153.8,65
6,A,1119,19,12,39,605.2,103.8,32
7,A,2754,0,1,39,605.2,153.8,64
7,A,2754,1,2,39,605.2,103.8,30
7,A,2754,2,3,39,605.2,153.8,64
7,A,2754,1,4,39,605.2,103.8,30
7,A,2754,13,5,39,605.2,153.8,64
7,A,2754,11,6,39,605.2,103.8,30
7,A,2754,54,7,39,605.2,153.8,65
7,A,2754,40,8,39,605.2,103.8,31
7,A,2754,56,9,39,605.2,153.8,67
7,A,2754,50,10,39,605.2,103.8,35
7,A,2754,45,11,39,605.2,153.8,65
7,A,2754,39,12,39,605.2,103.8,32
1,B,354052,6,1,57,1003.5,367.68,45.9
1,B,354052,6,2,57,1003.5,327.68,18.3
1,B,354052,125,3,57,1003.5,367.68,45.9
1,B,354052,100,4,57,1003.5,327.68,18.3
1,B,354052,122,5,57,1003.5,367.68,45.9
1,B,354052,108,6,57,1003.5,327.68,18.3
1,B,354052,224,7,57,1003.5,367.68,45.9
1,B,354052,183,8,57,1003.5,327.68,18.3
1,B,354052,279,9,57,1003.5,367.68,46
1,B,354052,200,10,57,1003.5,327.68,18.3
1,B,354052,360,11,57,1003.5,367.68,45.9
1,B,354052,220,12,57,1003.5,327.68,18.3
2,B,77193,0,1,57,1003.5,367.68,45.9
2,B,77193,1,2,57,1003.5,327.68,18.3
2,B,77193,5,3,57,1003.5,367.68,45.9
2,B,77193,4,4,57,1003.5,327.68,18.3
2,B,77193,20,5,57,1003.5,367.68,45.9
2,B,77193,17,6,57,1003.5,327.68,18.3
2,B,77193,27,7,57,1003.5,367.68,45.9
2,B,77193,20,8,57,1003.5,327.68,18.3
2,B,77193,19,9,57,1003.5,367.68,46
2,B,77193,16,10,57,1003.5,327.68,18.3
2,B,77193,59,11,57,1003.5,367.68,45.9
2,B,77193,48,12,57,1003.5,327.68,18.3
3,B,31963,0,1,57,1003.5,367.68,45.9
3,B,31963,1,2,57,1003.5,327.68,18.3
3,B,31963,5,3,57,1003.5,367.68,45.9
3,B,31963,3,4,57,1003.5,327.68,18.3
3,B,31963,19,5,57,1003.5,367.68,45.9
3,B,31963,18,6,57,1003.5,327.68,18.3
3,B,31963,7,7,57,1003.5,367.68,45.9
3,B,31963,6,8,57,1003.5,327.68,18.3
3,B,31963,9,9,57,1003.5,367.68,46
3,B,31963,7,10,57,1003.5,327.68,18.3
3,B,31963,46,11,57,1003.5,367.68,45.9
3,B,31963,40,12,57,1003.5,327.68,18.3
4,B,11418,1,1,57,1003.5,367.68,45.9
4,B,11418,1,2,57,1003.5,327.68,18.3
4,B,11418,6,3,57,1003.5,367.68,45.9
4,B,11418,4,4,57,1003.5,327.68,18.3
4,B,11418,34,5,57,1003.5,367.68,45.9
4,B,11418,30,6,57,1003.5,327.68,18.3
4,B,11418,26,7,57,1003.5,367.68,45.9
4,B,11418,22,8,57,1003.5,327.68,18.3
4,B,11418,29,9,57,1003.5,367.68,46
4,B,11418,25,10,57,1003.5,327.68,18.3
4,B,11418,25,11,57,1003.5,367.68,45.9
4,B,11418,21,12,57,1003.5,327.68,18.3
5,B,12966,1,1,57,1003.5,367.68,45.9
5,B,12966,0,2,57,1003.5,327.68,18.3
5,B,12966,3,3,57,1003.5,367.68,45.9
5,B,12966,2,4,57,1003.5,327.68,18.3
5,B,12966,7,5,57,1003.5,367.68,45.9
5,B,12966,5,6,57,1003.5,327.68,18.3
5,B,12966,8,7,57,1003.5,367.68,45.9
5,B,12966,6,8,57,1003.5,327.68,18.3
5,B,12966,7,9,57,1003.5,367.68,46
5,B,12966,6,10,57,1003.5,327.68,18.3
5,B,12966,25,11,57,1003.5,367.68,45.9
5,B,12966,19,12,57,1003.5,327.68,18.3
6,B,6533,0,1,57,1003.5,367.68,45.9
6,B,6533,2,2,57,1003.5,327.68,18.3
6,B,6533,2,3,57,1003.5,367.68,45.9
6,B,6533,1,4,57,1003.5,327.68,18.3
6,B,6533,34,5,57,1003.5,367.68,45.9
6,B,6533,28,6,57,1003.5,327.68,18.3
6,B,6533,6,7,57,1003.5,367.68,45.9
6,B,6533,4,8,57,1003.5,327.68,18.3
6,B,6533,32,9,57,1003.5,367.68,46
6,B,6533,30,10,57,1003.5,327.68,18.3
6,B,6533,28,11,57,1003.5,367.68,45.9
6,B,6533,20,12,57,1003.5,327.68,18.3
7,B,33093,1,1,57,1003.5,367.68,45.9
7,B,33093,0,2,57,1003.5,327.68,18.3
7,B,33093,1,3,57,1003.5,367.68,45.9
7,B,33093,0,4,57,1003.5,327.68,18.3
7,B,33093,2,5,57,1003.5,367.68,45.9
7,B,33093,1,6,57,1003.5,327.68,18.3
7,B,33093,26,7,57,1003.5,367.68,45.9
7,B,33093,19,8,57,1003.5,327.68,18.3
7,B,33093,13,9,57,1003.5,367.68,46
7,B,33093,10,10,57,1003.5,327.68,18.3
7,B,33093,18,11,57,1003.5,367.68,45.9
7,B,33093,14,12,57,1003.5,327.68,18.3
1,C,13826,2,1,60,925.2,283.6,73.5
1,C,13826,0,2,60,925.2,253.6,55.15
1,C,13826,3,3,60,925.2,283.6,73.3
1,C,13826,2,4,60,925.2,253.6,55.05
1,C,13826,13,5,60,925.2,283.6,73.1
1,C,13826,10,6,60,925.2,253.6,54.5
1,C,13826,36,7,60,925.2,283.6,73
1,C,13826,24,8,60,925.2,253.6,54.1
1,C,13826,58,9,60,925.2,283.6,72.8
1,C,13826,46,10,60,925.2,253.6,54.01
1,C,13826,51,11,60,925.2,283.6,72.5
1,C,13826,41,12,60,925.2,253.6,53.8
2,C,40714,1,1,60,925.2,283.6,73.5
2,C,40714,0,2,60,925.2,253.6,55.15
2,C,40714,4,3,60,925.2,283.6,73.3
2,C,40714,2,4,60,925.2,253.6,55.05
2,C,40714,72,5,60,925.2,283.6,73.1
2,C,40714,60,6,60,925.2,253.6,54.5
2,C,40714,200,7,60,925.2,283.6,73
2,C,40714,169,8,60,925.2,253.6,54.1
2,C,40714,143,9,60,925.2,283.6,72.8
2,C,40714,100,10,60,925.2,253.6,54.01
2,C,40714,268,11,60,925.2,283.6,72.5
2,C,40714,200,12,60,925.2,253.6,53.8
3,C,26258,0,1,60,925.2,283.6,73.5
3,C,26258,1,2,60,925.2,253.6,55.15
3,C,26258,27,3,60,925.2,283.6,73.3
3,C,26258,19,4,60,925.2,253.6,55.05
3,C,26258,96,5,60,925.2,283.6,73.1
3,C,26258,70,6,60,925.2,253.6,54.5
3,C,26258,87,7,60,925.2,283.6,73
3,C,26258,80,8,60,925.2,253.6,54.1
3,C,26258,98,9,60,925.2,283.6,72.8
3,C,26258,110,10,60,925.2,253.6,54.01
3,C,26258,100,11,60,925.2,283.6,72.5
3,C,26258,94,12,60,925.2,253.6,53.8
4,C,6433,2,1,60,925.2,283.6,73.5
4,C,6433,0,2,60,925.2,253.6,55.15
4,C,6433,9,3,60,925.2,283.6,73.3
4,C,6433,7,4,60,925.2,253.6,55.05
4,C,6433,35,5,60,925.2,283.6,73.1
4,C,6433,30,6,60,925.2,253.6,54.5
4,C,6433,68,7,60,925.2,283.6,73
4,C,6433,52,8,60,925.2,253.6,54.1
4,C,6433,80,9,60,925.2,283.6,72.8
4,C,6433,70,10,60,925.2,253.6,54.01
4,C,6433,58,11,60,925.2,283.6,72.5
4,C,6433,56,12,60,925.2,253.6,53.8
5,C,1037,0,1,60,925.2,283.6,73.5
5,C,1037,0,2,60,925.2,253.6,55.15
5,C,1037,2,3,60,925.2,283.6,73.3
5,C,1037,1,4,60,925.2,253.6,55.05
