Fault,counts,Year
2.09E+00,2,1
6.03E-02,3,1
8.94E-01,6,1
2.09E+01,2,2
6.03E-02,3,2
6.10E-01,4,2
1.79E+00,6,2
2.09E+00,2,3
2.29E+00,4,3
8.94E-01,6,3
7.26E-01,7,3
1.02E-01,1,4
2.09E+00,2,4
1.53E+00,4,4
3.63E-01,7,4
7.12E-01,1,5
1.22E+00,4,5
2.78E+00,5,5
4.72E+00,7,5
3.05E-01,1,6
9.15E-01,4,6
1.99E+00,5,6
3.99E+00,7,6
2.65E+00,1,7
2.89E+00,3,7
1.98E+00,4,7
7.15E+00,5,7
1.96E+01,7,7
2.04E+00,1,8
2.29E+00,3,8
1.53E+00,4,8
4.77E+00,5,8
1.79E+00,6,8
1.45E+01,7,8
9.36E+00,1,9
1.46E+01,2,9
7.23E-01,3,9
2.29E+00,4,9
4.77E+00,5,9
1.52E+01,6,9
2.03E+01,7,9
7.22E+00,1,10
1.05E+01,2,10
5.43E-01,3,10
1.83E+00,4,10
3.58E+00,5,10
1.79E+01,6,10
1.82E+01,7,10
3.05E+00,1,11
1.26E+01,2,11
1.22E+00,4,11
1.99E+00,5,11
1.63E+01,7,11
2.85E+00,1,12
8.37E+00,2,12
1.07E+00,4,12
2.38E+00,5,12
1.42E+01,7,12
