Fault,counts,Year
1.69E-02,1,1
1.30E-02,2,1
3.13E-02,3,1
8.76E-02,4,1
3.02E-02,7,1
1.69E-02,1,2
1.30E-02,2,2
3.13E-02,3,2
8.76E-02,4,2
3.02E-02,7,2
3.53E-01,1,3
6.48E-02,2,3
1.56E-01,3,3
2.82E-01,1,4
5.18E-02,2,4
9.39E-02,3,4
1.54E-01,5,4
1.53E-01,6,4
2.59E-01,2,5
5.94E-01,3,5
5.40E-01,5,5
5.20E+00,6,5
2.20E-01,2,6
5.63E-01,3,6
3.86E-01,5,6
4.29E+00,6,6
3.02E-02,7,6
3.50E-01,2,7
2.19E-01,3,7
2.28E+00,4,7
6.17E-01,5,7
9.18E-01,6,7
7.86E-01,7,7
2.59E-01,2,8
1.93E+00,4,8
4.63E-01,5,8
6.12E-01,6,8
5.74E-01,7,8
7.88E-01,1,9
2.54E+00,4,9
5.40E-01,5,9
4.90E+00,6,9
3.93E-01,7,9
5.65E-01,1,10
2.19E-01,3,10
2.19E+00,4,10
4.63E-01,5,10
4.59E+00,6,10
1.02E+00,1,11
1.44E+00,3,11
2.19E+00,4,11
1.93E+00,5,11
4.29E+00,6,11
6.21E-01,1,12
1.25E+00,3,12
1.84E+00,4,12
1.47E+00,5,12
3.06E+00,6,12
