Fault,counts,Year
1.45E-01,1,1
2.46E-02,2,1
3.81E-02,3,1
3.11E-01,4,1
9.64E-01,5,1
7.23E-02,1,2
2.46E-02,2,2
3.81E-02,3,2
1.55E-01,4,2
9.64E-01,5,2
9.82E-02,2,3
1.40E+00,4,3
1.93E+00,5,3
4.91E-02,2,4
1.09E+00,4,4
9.64E-01,5,4
1.77E+00,2,5
5.44E+00,4,5
3.86E+00,5,5
4.69E+00,7,5
7.23E-01,1,6
1.47E+00,2,6
4.66E+00,4,6
8.50E+00,6,6
4.69E+00,7,6
2.60E+00,1,7
4.91E+00,2,7
1.06E+01,4,7
5.67E+00,6,7
9.39E+00,7,7
1.74E+00,1,8
4.15E+00,2,8
3.05E+00,3,8
8.08E+00,4,8
2.83E+00,6,8
7.82E+00,7,8
3.51E+00,2,9
3.73E+00,3,9
1.24E+01,4,9
7.71E+00,5,9
1.70E+01,6,9
2.46E+00,2,10
4.19E+00,3,10
1.09E+01,4,10
6.75E+00,5,10
1.13E+01,6,10
6.58E+00,2,11
3.81E+00,3,11
5.79E+00,5,11
1.70E+01,6,11
1.41E+01,7,11
9.02E+00,4,11
4.91E+00,2,12
3.58E+00,3,12
8.71E+00,4,12
4.82E+00,5,12
1.42E+01,6,12
1.10E+01,7,12
