name,nsss,故障数目,总数,NS,z1,z2,z3,z4
1,A,1,527,1,0,0,0,0
1,A,6,527,2,0,0,0,0
1,A,7,527,3,0,0,0,0
1,A,0,527,4,0,0,0,0
1,A,5,527,5,0,0,0,0
1,A,11,527,6,0,0,0,0
2,B,2,2209,1,1,0,0,0
2,B,8,2209,2,1,0,0,0
2,B,2,2209,3,1,0,0,0
2,B,1,2209,4,1,0,0,0
2,B,4,2209,5,1,0,0,0
2,B,0,2209,6,1,0,0,0
3,C,30,750,1,0,1,0,0
3,C,1,750,2,0,1,0,0
3,C,5,750,3,0,1,0,0
3,C,5,750,4,0,1,0,0
4,D,3,207,1,0,0,1,0
4,D,14,207,2,0,0,1,0
4,D,5,207,3,0,0,1,0
4,D,4,207,4,0,0,1,0
4,D,0,207,5,0,0,1,0
4,E,0,35,1,0,0,0,1
8,E,0,35,2,0,0,0,1
8,E,0,35,3,0,0,0,1
9,E,0,35,4,0,0,0,1
9,E,0,35,5,0,0,0,1
9,E,0,35,6,0,0,0,1
