counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,30,605.2,103.8,91.9
1,A,9828,1,2,30,605.2,103.8,91.9
1,A,9828,2,3,30,605.2,103.8,91.9
1,A,9828,46,4,30,605.2,103.8,91.9
1,A,9828,169,5,30,605.2,103.8,91.9
1,A,9828,8,6,30,605.2,103.8,91.9
2,A,478,1,1,31,605.2,103.8,91.9
2,A,478,1,2,31,605.2,103.8,91.9
2,A,478,1,3,31,605.2,103.8,91.9
2,A,478,1,4,31,605.2,103.8,91.9
2,A,478,12,5,31,605.2,103.8,91.9
2,A,478,2,6,31,605.2,103.8,91.9
3,A,16588,1,1,25,605.2,103.8,91.9
3,A,16588,1,2,25,605.2,103.8,91.9
3,A,16588,2,3,25,605.2,103.8,91.9
3,A,16588,86,4,25,605.2,103.8,91.9
3,A,16588,19,5,25,605.2,103.8,91.9
3,A,16588,5,6,25,605.2,103.8,91.9
4,A,6557,10,1,25,605.2,103.8,91.9
4,A,6557,25,2,25,605.2,103.8,91.9
4,A,6557,1,3,25,605.2,103.8,91.9
4,A,6557,23,4,25,605.2,103.8,91.9
4,A,6557,27,5,25,605.2,103.8,91.9
4,A,6557,15,6,25,605.2,103.8,91.9
5,A,2516,1,1,29,605.2,103.8,91.9
5,A,2516,2,2,29,605.2,103.8,91.9
5,A,2516,12,3,29,605.2,103.8,91.9
5,A,2516,30,4,29,605.2,103.8,91.9
5,A,2516,21,5,29,605.2,103.8,91.9
5,A,2516,2,6,29,605.2,103.8,91.9
6,A,1119,1,1,33,605.2,103.8,91.9
6,A,1119,1,2,33,605.2,103.8,91.9
6,A,1119,2,3,33,605.2,103.8,91.9
6,A,1119,3,4,33,605.2,103.8,91.9
6,A,1119,37,5,33,605.2,103.8,91.9
6,A,1119,3,6,33,605.2,103.8,91.9
7,A,2754,1,1,35,605.2,103.8,91.9
7,A,2754,3,2,35,605.2,103.8,91.9
7,A,2754,1,3,35,605.2,103.8,91.9
7,A,2754,94,4,35,605.2,103.8,91.9
7,A,2754,106,5,35,605.2,103.8,91.9
7,A,2754,10,6,35,605.2,103.8,91.9
