counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,40,605.2,103.8,91.9
1,A,9828,1,2,40,605.2,103.8,91.9
1,A,9828,2,3,40,605.2,103.8,91.9
1,A,9828,46,4,40,605.2,103.8,91.9
1,A,9828,169,5,40,605.2,103.8,91.9
1,A,9828,58,6,40,605.2,103.8,91.9
2,A,478,1,1,40,605.2,103.8,91.9
2,A,478,1,2,40,605.2,103.8,91.9
2,A,478,1,3,40,605.2,103.8,91.9
2,A,478,1,4,40,605.2,103.8,91.9
2,A,478,12,5,40,605.2,103.8,91.9
2,A,478,10,6,40,605.2,103.8,91.9
3,A,16588,1,1,40,605.2,103.8,91.9
3,A,16588,1,2,40,605.2,103.8,91.9
3,A,16588,2,3,40,605.2,103.8,91.9
3,A,16588,86,4,40,605.2,103.8,91.9
3,A,16588,19,5,40,605.2,103.8,91.9
3,A,16588,5,6,40,605.2,103.8,91.9
4,A,6557,10,1,40,605.2,103.8,91.9
4,A,6557,25,2,40,605.2,103.8,91.9
4,A,6557,1,3,40,605.2,103.8,91.9
4,A,6557,23,4,40,605.2,103.8,91.9
4,A,6557,27,5,40,605.2,103.8,91.9
4,A,6557,15,6,40,605.2,103.8,91.9
5,A,2516,1,1,40,605.2,103.8,91.9
5,A,2516,2,2,40,605.2,103.8,91.9
5,A,2516,12,3,40,605.2,103.8,91.9
5,A,2516,30,4,40,605.2,103.8,91.9
5,A,2516,21,5,40,605.2,103.8,91.9
5,A,2516,2,6,40,605.2,103.8,91.9
6,A,1119,1,1,40,605.2,103.8,91.9
6,A,1119,1,2,40,605.2,103.8,91.9
6,A,1119,2,3,40,605.2,103.8,91.9
6,A,1119,3,4,40,605.2,103.8,91.9
6,A,1119,37,5,40,605.2,103.8,91.9
6,A,1119,38,6,40,605.2,103.8,91.9
7,A,2754,1,1,40,605.2,103.8,91.9
7,A,2754,3,2,40,605.2,103.8,91.9
7,A,2754,1,3,40,605.2,103.8,91.9
7,A,2754,94,4,40,605.2,103.8,91.9
7,A,2754,106,5,40,605.2,103.8,91.9
7,A,2754,80,6,40,605.2,103.8,91.9
