counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
2,A,478,1,0.91,34,605.2,153.8,64
3,A,16588,1,0.94,34,605.2,153.8,64
4,A,6557,6,0.97,34,605.2,153.8,64
1,A,9828,1,1,34,605.2,153.8,64
5,A,2516,1,1.03,34,605.2,153.8,64
6,A,1119,1,1.06,34,605.2,153.8,64
7,A,2754,1,1.09,34,605.2,153.8,64
2,A,478,1,1.91,36,605.2,103.8,30
3,A,16588,1,1.94,36,605.2,103.8,30
4,A,6557,4,1.97,36,605.2,103.8,30
1,A,9828,1,2,36,605.2,103.8,30
5,A,2516,1,2.03,36,605.2,103.8,30
6,A,1119,1,2.06,36,605.2,103.8,30
7,A,2754,1,2.09,36,605.2,103.8,30
2,A,478,1,2.91,35,605.2,153.8,64
3,A,16588,1,2.94,35,605.2,153.8,64
4,A,6557,15,2.97,35,605.2,153.8,64
1,A,9828,1,3,35,605.2,153.8,64
5,A,2516,1,3.03,35,605.2,153.8,64
6,A,1119,1,3.06,35,605.2,153.8,64
7,A,2754,2,3.09,35,605.2,153.8,64
2,A,478,1,3.91,36,605.2,103.8,30
3,A,16588,1,3.94,36,605.2,103.8,30
4,A,6557,10,3.97,36,605.2,103.8,30
1,A,9828,1,4,36,605.2,103.8,30
5,A,2516,1,4.03,36,605.2,103.8,30
6,A,1119,1,4.06,36,605.2,103.8,30
7,A,2754,1,4.09,36,605.2,103.8,30
2,A,478,1,4.91,32,605.2,153.8,64
3,A,16588,15,4.94,32,605.2,153.8,64
4,A,6557,8,4.97,32,605.2,153.8,64
1,A,9828,7,5,32,605.2,153.8,64
5,A,2516,7,5.03,32,605.2,153.8,64
6,A,1119,2,5.06,32,605.2,153.8,64
7,A,2754,13,5.09,32,605.2,153.8,64
2,A,478,1,5.91,35,605.2,103.8,30
3,A,16588,12,5.94,35,605.2,103.8,30
4,A,6557,6,5.97,35,605.2,103.8,30
1,A,9828,3,6,35,605.2,103.8,30
5,A,2516,5,6.03,35,605.2,103.8,30
6,A,1119,1,6.06,35,605.2,103.8,30
7,A,2754,11,6.09,35,605.2,103.8,30
2,A,478,1,6.91,31,605.2,153.8,65
3,A,16588,48,6.94,31,605.2,153.8,65
4,A,6557,13,6.97,31,605.2,153.8,65
1,A,9828,26,7,31,605.2,153.8,65
5,A,2516,18,7.03,31,605.2,153.8,65
6,A,1119,2,7.06,31,605.2,153.8,65
7,A,2754,54,7.09,31,605.2,153.8,65
2,A,478,1,7.91,35,605.2,103.8,31
3,A,16588,38,7.94,35,605.2,103.8,31
4,A,6557,10,7.97,35,605.2,103.8,31
1,A,9828,20,8,35,605.2,103.8,31
5,A,2516,12,8.03,35,605.2,103.8,31
6,A,1119,2,8.06,35,605.2,103.8,31
7,A,2754,40,8.09,35,605.2,103.8,31
2,A,478,7,8.91,30,605.2,153.8,67
3,A,16588,12,8.94,30,605.2,153.8,67
4,A,6557,15,8.97,30,605.2,153.8,67
1,A,9828,92,9,30,605.2,153.8,67
5,A,2516,12,9.03,30,605.2,153.8,67
6,A,1119,17,9.06,30,605.2,153.8,67
7,A,2754,56,9.09,30,605.2,153.8,67
2,A,478,5,9.91,36,605.2,103.8,35
3,A,16588,9,9.94,36,605.2,103.8,35
4,A,6557,12,9.97,36,605.2,103.8,35
1,A,9828,71,10,36,605.2,103.8,35
5,A,2516,9,10.03,36,605.2,103.8,35
6,A,1119,20,10.06,36,605.2,103.8,35
7,A,2754,50,10.09,36,605.2,103.8,35
2,A,478,6,10.91,32,605.2,153.8,65
3,A,16588,5,10.94,32,605.2,153.8,65
4,A,6557,8,10.97,32,605.2,153.8,65
1,A,9828,30,11,32,605.2,153.8,65
5,A,2516,5,11.03,32,605.2,153.8,65
6,A,1119,19,11.06,32,605.2,153.8,65
7,A,2754,45,11.09,32,605.2,153.8,65
2,A,478,4,11.91,35,605.2,103.8,32
3,A,16588,3,11.94,35,605.2,103.8,32
4,A,6557,7,11.97,35,605.2,103.8,32
1,A,9828,28,12,35,605.2,103.8,32
5,A,2516,5,12.03,35,605.2,103.8,32
6,A,1119,19,12.06,35,605.2,103.8,32
7,A,2754,39,12.09,35,605.2,103.8,32
