counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,B,354052,6,0.91,55,1003.5,367.68,45.9
2,B,77193,1,0.94,55,1003.5,367.68,45.9
3,B,31963,1,0.97,55,1003.5,367.68,45.9
4,B,11418,1,1,55,1003.5,367.68,45.9
5,B,12966,1,1.03,55,1003.5,367.68,45.9
6,B,6533,1,1.06,55,1003.5,367.68,45.9
7,B,33093,1,1.09,55,1003.5,367.68,45.9
1,B,354052,6,1.91,57,1003.5,327.68,18.3
2,B,77193,1,1.94,57,1003.5,327.68,18.3
3,B,31963,1,1.97,57,1003.5,327.68,18.3
4,B,11418,1,2,57,1003.5,327.68,18.3
5,B,12966,1,2.03,57,1003.5,327.68,18.3
6,B,6533,2,2.06,57,1003.5,327.68,18.3
7,B,33093,1,2.09,57,1003.5,327.68,18.3
1,B,354052,125,2.91,47,1003.5,367.68,45.9
2,B,77193,5,2.94,47,1003.5,367.68,45.9
3,B,31963,5,2.97,47,1003.5,367.68,45.9
4,B,11418,6,3,47,1003.5,367.68,45.9
5,B,12966,3,3.03,47,1003.5,367.68,45.9
6,B,6533,2,3.06,47,1003.5,367.68,45.9
7,B,33093,1,3.09,47,1003.5,367.68,45.9
1,B,354052,100,3.91,56,1003.5,327.68,18.3
2,B,77193,4,3.94,56,1003.5,327.68,18.3
3,B,31963,3,3.97,56,1003.5,327.68,18.3
4,B,11418,4,4,56,1003.5,327.68,18.3
5,B,12966,2,4.03,56,1003.5,327.68,18.3
6,B,6533,1,4.06,56,1003.5,327.68,18.3
7,B,33093,1,4.09,56,1003.5,327.68,18.3
1,B,354052,122,4.91,42,1003.5,367.68,45.9
2,B,77193,20,4.94,42,1003.5,367.68,45.9
3,B,31963,19,4.97,42,1003.5,367.68,45.9
4,B,11418,34,5,42,1003.5,367.68,45.9
5,B,12966,7,5.03,42,1003.5,367.68,45.9
6,B,6533,34,5.06,42,1003.5,367.68,45.9
7,B,33093,2,5.09,42,1003.5,367.68,45.9
1,B,354052,108,5.91,49,1003.5,327.68,18.3
2,B,77193,17,5.94,49,1003.5,327.68,18.3
3,B,31963,18,5.97,49,1003.5,327.68,18.3
4,B,11418,30,6,49,1003.5,327.68,18.3
5,B,12966,5,6.03,49,1003.5,327.68,18.3
6,B,6533,28,6.06,49,1003.5,327.68,18.3
7,B,33093,1,6.09,49,1003.5,327.68,18.3
1,B,354052,224,6.91,51,1003.5,367.68,45.9
2,B,77193,27,6.94,51,1003.5,367.68,45.9
3,B,31963,7,6.97,51,1003.5,367.68,45.9
4,B,11418,26,7,51,1003.5,367.68,45.9
5,B,12966,8,7.03,51,1003.5,367.68,45.9
6,B,6533,6,7.06,51,1003.5,367.68,45.9
7,B,33093,26,7.09,51,1003.5,367.68,45.9
1,B,354052,183,7.91,58,1003.5,327.68,18.3
2,B,77193,20,7.94,58,1003.5,327.68,18.3
3,B,31963,6,7.97,58,1003.5,327.68,18.3
4,B,11418,22,8,58,1003.5,327.68,18.3
5,B,12966,6,8.03,58,1003.5,327.68,18.3
6,B,6533,4,8.06,58,1003.5,327.68,18.3
7,B,33093,19,8.09,58,1003.5,327.68,18.3
1,B,354052,279,8.91,51,1003.5,367.68,46
2,B,77193,19,8.94,51,1003.5,367.68,46
3,B,31963,9,8.97,51,1003.5,367.68,46
4,B,11418,29,9,51,1003.5,367.68,46
5,B,12966,7,9.03,51,1003.5,367.68,46
6,B,6533,32,9.06,51,1003.5,367.68,46
7,B,33093,13,9.09,51,1003.5,367.68,46
1,B,354052,200,9.91,48,1003.5,327.68,18.3
2,B,77193,16,9.94,48,1003.5,327.68,18.3
3,B,31963,7,9.97,48,1003.5,327.68,18.3
4,B,11418,25,10,48,1003.5,327.68,18.3
5,B,12966,6,10.03,48,1003.5,327.68,18.3
6,B,6533,30,10.06,48,1003.5,327.68,18.3
7,B,33093,10,10.09,48,1003.5,327.68,18.3
1,B,354052,360,10.91,46,1003.5,367.68,45.9
2,B,77193,59,10.94,46,1003.5,367.68,45.9
3,B,31963,46,10.97,46,1003.5,367.68,45.9
4,B,11418,25,11,46,1003.5,367.68,45.9
5,B,12966,25,11.03,46,1003.5,367.68,45.9
6,B,6533,28,11.06,46,1003.5,367.68,45.9
7,B,33093,18,11.09,46,1003.5,367.68,45.9
1,B,354052,220,11.91,52,1003.5,327.68,18.3
2,B,77193,48,11.94,52,1003.5,327.68,18.3
3,B,31963,40,11.97,52,1003.5,327.68,18.3
4,B,11418,21,12,52,1003.5,327.68,18.3
5,B,12966,19,12.03,52,1003.5,327.68,18.3
6,B,6533,20,12.06,52,1003.5,327.68,18.3
7,B,33093,14,12.09,52,1003.5,327.68,18.3
