counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,C,13826,2,0.91,54,925.2,283.6,73.5
2,C,40714,1,0.94,54,925.2,283.6,73.5
3,C,26258,1,0.97,54,925.2,283.6,73.5
4,C,6433,2,1,54,925.2,283.6,73.5
5,C,1037,1,1.03,54,925.2,283.6,73.5
6,C,353,1,1.06,54,925.2,283.6,73.5
7,C,639,1,1.09,54,925.2,283.6,73.5
1,C,13826,1,1.91,57,925.2,253.6,55.15
2,C,40714,1,1.94,57,925.2,253.6,55.15
3,C,26258,1,1.97,57,925.2,253.6,55.15
4,C,6433,1,2,57,925.2,253.6,55.15
5,C,1037,1,2.03,57,925.2,253.6,55.15
6,C,353,1,2.06,57,925.2,253.6,55.15
7,C,639,1,2.09,57,925.2,253.6,55.15
1,C,13826,3,2.91,51,925.2,283.6,73.3
2,C,40714,4,2.94,51,925.2,283.6,73.3
3,C,26258,27,2.97,51,925.2,283.6,73.3
4,C,6433,9,3,51,925.2,283.6,73.3
5,C,1037,2,3.03,51,925.2,283.6,73.3
6,C,353,1,3.06,51,925.2,283.6,73.3
7,C,639,2,3.09,51,925.2,283.6,73.3
1,C,13826,2,3.91,57,925.2,253.6,55.05
2,C,40714,2,3.94,57,925.2,253.6,55.05
3,C,26258,19,3.97,57,925.2,253.6,55.05
4,C,6433,7,4,57,925.2,253.6,55.05
5,C,1037,1,4.03,57,925.2,253.6,55.05
6,C,353,1,4.06,57,925.2,253.6,55.05
7,C,639,1,4.09,57,925.2,253.6,55.05
1,C,13826,13,4.91,53,925.2,283.6,73.1
2,C,40714,72,4.94,53,925.2,283.6,73.1
3,C,26258,96,4.97,53,925.2,283.6,73.1
4,C,6433,35,5,53,925.2,283.6,73.1
5,C,1037,4,5.03,53,925.2,283.6,73.1
6,C,353,3,5.06,53,925.2,283.6,73.1
7,C,639,3,5.09,53,925.2,283.6,73.1
1,C,13826,10,5.91,60,925.2,253.6,54.5
2,C,40714,60,5.94,60,925.2,253.6,54.5
3,C,26258,70,5.97,60,925.2,253.6,54.5
4,C,6433,30,6,60,925.2,253.6,54.5
5,C,1037,6,6.03,60,925.2,253.6,54.5
6,C,353,3,6.06,60,925.2,253.6,54.5
7,C,639,3,6.09,60,925.2,253.6,54.5
1,C,13826,36,6.91,55,925.2,283.6,73
2,C,40714,200,6.94,55,925.2,283.6,73
3,C,26258,87,6.97,55,925.2,283.6,73
4,C,6433,68,7,55,925.2,283.6,73
5,C,1037,4,7.03,55,925.2,283.6,73
6,C,353,2,7.06,55,925.2,283.6,73
7,C,639,6,7.09,55,925.2,283.6,73
1,C,13826,24,7.91,60,925.2,253.6,54.1
2,C,40714,169,7.94,60,925.2,253.6,54.1
3,C,26258,80,7.97,60,925.2,253.6,54.1
4,C,6433,52,8,60,925.2,253.6,54.1
5,C,1037,3,8.03,60,925.2,253.6,54.1
6,C,353,1,8.06,60,925.2,253.6,54.1
7,C,639,5,8.09,60,925.2,253.6,54.1
1,C,13826,58,8.91,53,925.2,283.6,72.8
2,C,40714,143,8.94,53,925.2,283.6,72.8
3,C,26258,98,8.97,53,925.2,283.6,72.8
4,C,6433,80,9,53,925.2,283.6,72.8
5,C,1037,8,9.03,53,925.2,283.6,72.8
6,C,353,6,9.06,53,925.2,283.6,72.8
7,C,639,8,9.09,53,925.2,283.6,72.8
1,C,13826,46,9.91,55,925.2,253.6,54.01
2,C,40714,100,9.94,55,925.2,253.6,54.01
3,C,26258,110,9.97,55,925.2,253.6,54.01
4,C,6433,70,10,55,925.2,253.6,54.01
5,C,1037,7,10.03,55,925.2,253.6,54.01
6,C,353,4,10.06,55,925.2,253.6,54.01
7,C,639,7,10.09,55,925.2,253.6,54.01
1,C,13826,51,10.91,47,925.2,283.6,72.5
2,C,40714,268,10.94,47,925.2,283.6,72.5
3,C,26258,100,10.97,47,925.2,283.6,72.5
4,C,6433,58,11,47,925.2,283.6,72.5
5,C,1037,6,11.03,47,925.2,283.6,72.5
6,C,353,6,11.06,47,925.2,283.6,72.5
7,C,639,9,11.09,47,925.2,283.6,72.5
1,C,13826,41,11.91,61,925.2,253.6,53.8
2,C,40714,200,11.94,61,925.2,253.6,53.8
3,C,26258,94,11.97,61,925.2,253.6,53.8
4,C,6433,56,12,61,925.2,253.6,53.8
5,C,1037,5,12.03,61,925.2,253.6,53.8
6,C,353,5,12.06,61,925.2,253.6,53.8
7,C,639,7,12.09,61,925.2,253.6,53.8
