counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,C,13826,2,1,54,925.2,283.6,73.5
1,C,13826,1,2,57,925.2,253.6,55.15
1,C,13826,165,3,51,925.2,283.6,73.3
1,C,13826,3,4,57,925.2,253.6,55.05
1,C,13826,13,5,53,925.2,283.6,73.1
1,C,13826,10,6,60,925.2,253.6,54.5
1,C,13826,27,7,55,925.2,283.6,73
1,C,13826,33,8,60,925.2,253.6,54.1
1,C,13826,55,9,53,925.2,283.6,72.8
1,C,13826,49,10,55,925.2,253.6,54.01
1,C,13826,45,11,47,925.2,283.6,72.5
1,C,13826,47,12,61,925.2,253.6,53.8
2,C,40714,1,1,54,925.2,283.6,73.5
2,C,40714,1,2,57,925.2,253.6,55.15
2,C,40714,2,3,51,925.2,283.6,73.3
2,C,40714,4,4,57,925.2,253.6,55.05
2,C,40714,72,5,53,925.2,283.6,73.1
2,C,40714,60,6,60,925.2,253.6,54.5
2,C,40714,180,7,55,925.2,283.6,73
2,C,40714,189,8,60,925.2,253.6,54.1
2,C,40714,110,9,53,925.2,283.6,72.8
2,C,40714,133,10,55,925.2,253.6,54.01
2,C,40714,248,11,47,925.2,283.6,72.5
2,C,40714,220,12,61,925.2,253.6,53.8
3,C,26258,1,1,54,925.2,283.6,73.5
3,C,26258,1,2,57,925.2,253.6,55.15
3,C,26258,25,3,51,925.2,283.6,73.3
3,C,26258,23,4,57,925.2,253.6,55.05
3,C,26258,70,5,53,925.2,283.6,73.1
3,C,26258,96,6,60,925.2,253.6,54.5
3,C,26258,87,7,55,925.2,283.6,73
3,C,26258,80,8,60,925.2,253.6,54.1
3,C,26258,98,9,53,925.2,283.6,72.8
3,C,26258,110,10,55,925.2,253.6,54.01
3,C,26258,94,11,47,925.2,283.6,72.5
3,C,26258,100,12,61,925.2,253.6,53.8
4,C,6433,2,1,54,925.2,283.6,73.5
4,C,6433,1,2,57,925.2,253.6,55.15
4,C,6433,9,3,51,925.2,283.6,73.3
4,C,6433,7,4,57,925.2,253.6,55.05
4,C,6433,35,5,53,925.2,283.6,73.1
4,C,6433,30,6,60,925.2,253.6,54.5
4,C,6433,52,7,55,925.2,283.6,73
4,C,6433,68,8,60,925.2,253.6,54.1
4,C,6433,78,9,53,925.2,283.6,72.8
4,C,6433,72,10,55,925.2,253.6,54.01
4,C,6433,58,11,47,925.2,283.6,72.5
4,C,6433,61,12,61,925.2,253.6,53.8
5,C,1037,1,1,54,925.2,283.6,73.5
5,C,1037,1,2,57,925.2,253.6,55.15
5,C,1037,2,3,51,925.2,283.6,73.3
5,C,1037,1,4,57,925.2,253.6,55.05
5,C,1037,4,5,53,925.2,283.6,73.1
5,C,1037,6,6,60,925.2,253.6,54.5
5,C,1037,4,7,55,925.2,283.6,73
5,C,1037,3,8,60,925.2,253.6,54.1
5,C,1037,8,9,53,925.2,283.6,72.8
5,C,1037,7,10,55,925.2,253.6,54.01
5,C,1037,6,11,47,925.2,283.6,72.5
5,C,1037,7,12,61,925.2,253.6,53.8
6,C,353,2,1,54,925.2,283.6,73.5
6,C,353,1,2,57,925.2,253.6,55.15
6,C,353,1,3,51,925.2,283.6,73.3
6,C,353,1,4,57,925.2,253.6,55.05
6,C,353,3,5,53,925.2,283.6,73.1
6,C,353,3,6,60,925.2,253.6,54.5
6,C,353,2,7,55,925.2,283.6,73
6,C,353,1,8,60,925.2,253.6,54.1
6,C,353,5,9,53,925.2,283.6,72.8
6,C,353,4,10,55,925.2,253.6,54.01
6,C,353,5,11,47,925.2,283.6,72.5
6,C,353,6,12,61,925.2,253.6,53.8
7,C,639,1,1,54,925.2,283.6,73.5
7,C,639,1,2,57,925.2,253.6,55.15
7,C,639,2,3,51,925.2,283.6,73.3
7,C,639,1,4,57,925.2,253.6,55.05
7,C,639,3,5,53,925.2,283.6,73.1
7,C,639,4,6,60,925.2,253.6,54.5
7,C,639,6,7,55,925.2,283.6,73
7,C,639,7,8,60,925.2,253.6,54.1
7,C,639,8,9,53,925.2,283.6,72.8
7,C,639,7,10,55,925.2,253.6,54.01
7,C,639,9,11,47,925.2,283.6,72.5
7,C,639,10,12,61,925.2,253.6,53.8
