counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,34,605.2,153.8,64
1,A,9828,1,2,36,605.2,103.8,30
1,A,9828,1,3,35,605.2,153.8,64
1,A,9828,1,4,36,605.2,103.8,30
1,A,9828,6,5,32,605.2,153.8,64
1,A,9828,4,6,35,605.2,103.8,30
1,A,9828,20,7,31,605.2,153.8,65
1,A,9828,43,8,35,605.2,103.8,31
1,A,9828,67,9,30,605.2,153.8,67
1,A,9828,85,10,36,605.2,103.8,35
1,A,9828,30,11,32,605.2,153.8,65
1,A,9828,47,12,35,605.2,103.8,32
2,A,478,1,1,34,605.2,153.8,64
2,A,478,1,2,36,605.2,103.8,30
2,A,478,1,3,35,605.2,153.8,64
2,A,478,2,4,36,605.2,103.8,30
2,A,478,1,5,32,605.2,153.8,64
2,A,478,2,6,35,605.2,103.8,30
2,A,478,3,7,31,605.2,153.8,65
2,A,478,2,8,35,605.2,103.8,31
2,A,478,6,9,30,605.2,153.8,67
2,A,478,5,10,36,605.2,103.8,35
2,A,478,6,11,32,605.2,153.8,65
2,A,478,8,12,35,605.2,103.8,32
3,A,16588,1,1,34,605.2,153.8,64
3,A,16588,1,2,36,605.2,103.8,30
3,A,16588,2,3,35,605.2,153.8,64
3,A,16588,1,4,36,605.2,103.8,30
3,A,16588,15,5,32,605.2,153.8,64
3,A,16588,12,6,35,605.2,103.8,30
3,A,16588,45,7,31,605.2,153.8,65
3,A,16588,41,8,35,605.2,103.8,31
3,A,16588,11,9,30,605.2,153.8,67
3,A,16588,10,10,36,605.2,103.8,35
3,A,16588,46,11,32,605.2,153.8,65
3,A,16588,60,12,35,605.2,103.8,32
4,A,6557,5,1,34,605.2,153.8,64
4,A,6557,5,2,36,605.2,103.8,30
4,A,6557,13,3,35,605.2,153.8,64
4,A,6557,12,4,36,605.2,103.8,30
4,A,6557,8,5,32,605.2,153.8,64
4,A,6557,6,6,35,605.2,103.8,30
4,A,6557,12,7,31,605.2,153.8,65
4,A,6557,4,8,35,605.2,103.8,31
4,A,6557,13,9,30,605.2,153.8,67
4,A,6557,14,10,36,605.2,103.8,35
4,A,6557,49,11,32,605.2,153.8,65
4,A,6557,51,12,35,605.2,103.8,32
5,A,2516,1,1,34,605.2,153.8,64
5,A,2516,2,2,36,605.2,103.8,30
5,A,2516,1,3,35,605.2,153.8,64
5,A,2516,1,4,36,605.2,103.8,30
5,A,2516,7,5,32,605.2,153.8,64
5,A,2516,5,6,35,605.2,103.8,30
5,A,2516,16,7,31,605.2,153.8,65
5,A,2516,14,8,35,605.2,103.8,31
5,A,2516,10,9,30,605.2,153.8,67
5,A,2516,11,10,36,605.2,103.8,35
5,A,2516,5,11,32,605.2,153.8,65
5,A,2516,5,12,35,605.2,103.8,32
6,A,1119,1,1,34,605.2,153.8,64
6,A,1119,1,2,36,605.2,103.8,30
6,A,1119,1,3,35,605.2,153.8,64
6,A,1119,4,4,36,605.2,103.8,30
6,A,1119,1,5,32,605.2,153.8,64
6,A,1119,2,6,35,605.2,103.8,30
6,A,1119,2,7,31,605.2,153.8,65
6,A,1119,4,8,35,605.2,103.8,31
6,A,1119,17,9,30,605.2,153.8,67
6,A,1119,20,10,36,605.2,103.8,35
6,A,1119,19,11,32,605.2,153.8,65
6,A,1119,20,12,35,605.2,103.8,32
7,A,2754,1,1,34,605.2,153.8,64
7,A,2754,1,2,36,605.2,103.8,30
7,A,2754,2,3,35,605.2,153.8,64
7,A,2754,3,4,36,605.2,103.8,30
7,A,2754,13,5,32,605.2,153.8,64
7,A,2754,11,6,35,605.2,103.8,30
