counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,34,605.2,153.8,64
1,A,9828,2,2,36,605.2,103.8,30
1,A,9828,3,3,35,605.2,153.8,64
1,A,9828,4,4,36,605.2,103.8,30
1,A,9828,11,5,32,605.2,153.8,64
1,A,9828,14,6,35,605.2,103.8,30
1,A,9828,40,7,31,605.2,153.8,65
1,A,9828,60,8,35,605.2,103.8,31
1,A,9828,152,9,30,605.2,153.8,67
1,A,9828,223,10,36,605.2,103.8,35
1,A,9828,253,11,32,605.2,153.8,65
1,A,9828,281,12,35,605.2,103.8,32
2,A,478,1,1,34,605.2,153.8,64
2,A,478,2,2,36,605.2,103.8,30
2,A,478,3,3,35,605.2,153.8,64
2,A,478,4,4,36,605.2,103.8,30
2,A,478,5,5,32,605.2,153.8,64
2,A,478,6,6,35,605.2,103.8,30
2,A,478,7,7,31,605.2,153.8,65
2,A,478,8,8,35,605.2,103.8,31
2,A,478,15,9,30,605.2,153.8,67
2,A,478,20,10,36,605.2,103.8,35
2,A,478,26,11,32,605.2,153.8,65
2,A,478,30,12,35,605.2,103.8,32
3,A,16588,1,1,34,605.2,153.8,64
3,A,16588,2,2,36,605.2,103.8,30
3,A,16588,3,3,35,605.2,153.8,64
3,A,16588,4,4,36,605.2,103.8,30
3,A,16588,19,5,32,605.2,153.8,64
3,A,16588,31,6,35,605.2,103.8,30
3,A,16588,79,7,31,605.2,153.8,65
3,A,16588,117,8,35,605.2,103.8,31
3,A,16588,129,9,30,605.2,153.8,67
3,A,16588,138,10,36,605.2,103.8,35
3,A,16588,143,11,32,605.2,153.8,65
3,A,16588,146,12,35,605.2,103.8,32
4,A,6557,6,1,34,605.2,153.8,64
4,A,6557,10,2,36,605.2,103.8,30
4,A,6557,25,3,35,605.2,153.8,64
4,A,6557,35,4,36,605.2,103.8,30
4,A,6557,43,5,32,605.2,153.8,64
4,A,6557,49,6,35,605.2,103.8,30
4,A,6557,62,7,31,605.2,153.8,65
4,A,6557,72,8,35,605.2,103.8,31
4,A,6557,87,9,30,605.2,153.8,67
4,A,6557,99,10,36,605.2,103.8,35
4,A,6557,107,11,32,605.2,153.8,65
4,A,6557,114,12,35,605.2,103.8,32
5,A,2516,1,1,34,605.2,153.8,64
5,A,2516,2,2,36,605.2,103.8,30
5,A,2516,3,3,35,605.2,153.8,64
5,A,2516,4,4,36,605.2,103.8,30
5,A,2516,11,5,32,605.2,153.8,64
5,A,2516,16,6,35,605.2,103.8,30
5,A,2516,34,7,31,605.2,153.8,65
5,A,2516,46,8,35,605.2,103.8,31
5,A,2516,58,9,30,605.2,153.8,67
5,A,2516,67,10,36,605.2,103.8,35
5,A,2516,72,11,32,605.2,153.8,65
5,A,2516,77,12,35,605.2,103.8,32
6,A,1119,1,1,34,605.2,153.8,64
6,A,1119,2,2,36,605.2,103.8,30
6,A,1119,3,3,35,605.2,153.8,64
6,A,1119,4,4,36,605.2,103.8,30
6,A,1119,6,5,32,605.2,153.8,64
6,A,1119,7,6,35,605.2,103.8,30
6,A,1119,9,7,31,605.2,153.8,65
6,A,1119,11,8,35,605.2,103.8,31
6,A,1119,28,9,30,605.2,153.8,67
6,A,1119,48,10,36,605.2,103.8,35
6,A,1119,67,11,32,605.2,153.8,65
6,A,1119,86,12,35,605.2,103.8,32
7,A,2754,1,1,34,605.2,153.8,64
7,A,2754,2,2,36,605.2,103.8,30
7,A,2754,4,3,35,605.2,153.8,64
7,A,2754,5,4,36,605.2,103.8,30
7,A,2754,18,5,32,605.2,153.8,64
7,A,2754,29,6,35,605.2,103.8,30
7,A,2754,83,7,31,605.2,153.8,65
7,A,2754,123,8,35,605.2,103.8,31
7,A,2754,179,9,30,605.2,153.8,67
7,A,2754,229,10,36,605.2,103.8,35
7,A,2754,274,11,32,605.2,153.8,65
7,A,2754,313,12,35,605.2,103.8,32
1,B,354052,6,1,55,1003.5,367.68,45.9
1,B,354052,12,2,57,1003.5,327.68,18.3
1,B,354052,137,3,47,1003.5,367.68,45.9
1,B,354052,237,4,56,1003.5,327.68,18.3
1,B,354052,359,5,42,1003.5,367.68,45.9
1,B,354052,467,6,49,1003.5,327.68,18.3
1,B,354052,691,7,51,1003.5,367.68,45.9
1,B,354052,874,8,58,1003.5,327.68,18.3
