counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,527,1,1,34,605.2,153.8,64
1,A,527,1,2,36,605.2,103.8,30
1,A,527,4,3,35,605.2,153.8,64
1,A,527,2,4,36,605.2,103.8,30
1,A,527,1,5,32,605.2,153.8,64
1,A,527,6,6,35,605.2,103.8,30
1,A,527,1,7,31,605.2,153.8,65
1,A,527,1,8,35,605.2,103.8,31
1,A,527,2,9,30,605.2,153.8,67
1,A,527,4,10,36,605.2,103.8,35
1,A,527,4,11,32,605.2,153.8,65
1,A,527,7,12,35,605.2,103.8,32
2,A,750,1,1,34,605.2,153.8,64
2,A,750,1,2,36,605.2,103.8,30
2,A,750,4,3,35,605.2,153.8,64
2,A,750,1,4,36,605.2,103.8,30
2,A,750,2,5,32,605.2,153.8,64
2,A,750,3,6,35,605.2,103.8,30
2,A,750,2,7,31,605.2,153.8,65
2,A,750,5,8,35,605.2,103.8,31
2,A,750,7,9,30,605.2,153.8,67
2,A,750,4,10,36,605.2,103.8,35
2,A,750,6,11,32,605.2,153.8,65
2,A,750,6,12,35,605.2,103.8,32
3,A,207,1,1,34,605.2,153.8,64
3,A,207,1,2,36,605.2,103.8,30
3,A,207,4,3,35,605.2,153.8,64
3,A,207,1,4,36,605.2,103.8,30
3,A,207,2,5,32,605.2,153.8,64
3,A,207,3,6,35,605.2,103.8,30
3,A,207,4,7,31,605.2,153.8,65
3,A,207,3,8,35,605.2,103.8,31
3,A,207,5,9,30,605.2,153.8,67
3,A,207,6,10,36,605.2,103.8,35
3,A,207,6,11,32,605.2,153.8,65
3,A,207,7,12,35,605.2,103.8,32
4,A,23470,3,1,34,605.2,153.8,64
4,A,23470,4,2,36,605.2,103.8,30
4,A,23470,12,3,35,605.2,153.8,64
4,A,23470,10,4,36,605.2,103.8,30
4,A,23470,4,5,32,605.2,153.8,64
4,A,23470,5,6,35,605.2,103.8,30
4,A,23470,3,7,31,605.2,153.8,65
4,A,23470,5,8,35,605.2,103.8,31
4,A,23470,15,9,30,605.2,153.8,67
4,A,23470,11,10,36,605.2,103.8,35
4,A,23470,13,11,32,605.2,153.8,65
4,A,23470,16,12,35,605.2,103.8,32
5,A,431,1,1,34,605.2,153.8,64
5,A,431,3,2,36,605.2,103.8,30
5,A,431,9,3,35,605.2,153.8,64
5,A,431,2,4,36,605.2,103.8,30
5,A,431,1,5,32,605.2,153.8,64
5,A,431,2,6,35,605.2,103.8,30
5,A,431,1,7,31,605.2,153.8,65
5,A,431,1,8,35,605.2,103.8,31
5,A,431,2,9,30,605.2,153.8,67
5,A,431,2,10,36,605.2,103.8,35
5,A,431,4,11,32,605.2,153.8,65
5,A,431,7,12,35,605.2,103.8,32
1,B,38438,1,1,55,1003.5,367.68,45.9
1,B,38438,3,2,57,1003.5,327.68,18.3
1,B,38438,90,3,47,1003.5,367.68,45.9
1,B,38438,61,4,56,1003.5,327.68,18.3
1,B,38438,290,5,42,1003.5,367.68,45.9
1,B,38438,316,6,49,1003.5,327.68,18.3
1,B,38438,243,7,51,1003.5,367.68,45.9
1,B,38438,300,8,58,1003.5,327.68,18.3
1,B,38438,11,9,51,1003.5,367.68,46
1,B,38438,15,10,48,1003.5,327.68,18.3
1,B,38438,45,11,46,1003.5,367.68,45.9
1,B,38438,25,12,52,1003.5,327.68,18.3
2,B,110636,1,1,55,1003.5,367.68,45.9
2,B,110636,1,2,57,1003.5,327.68,18.3
2,B,110636,45,3,47,1003.5,367.68,45.9
2,B,110636,30,4,56,1003.5,327.68,18.3
2,B,110636,293,5,42,1003.5,367.68,45.9
2,B,110636,200,6,49,1003.5,327.68,18.3
