place,company,Nums,Fault,Year,Tem,hPa,lux,RH
1,0,9828,0,1,38,605.2,103.8,91.9
1,0,9828,1,2,38,605.2,103.8,91.9
1,0,9828,2,3,38,605.2,103.8,91.9
1,0,9828,46,4,38,605.2,103.8,91.9
1,0,9828,169,5,38,605.2,103.8,91.9
1,0,9828,58,6,38,605.2,103.8,91.9
2,0,478,1,1,38,605.2,103.8,91.9
2,0,478,0,2,38,605.2,103.8,91.9
2,0,478,1,3,38,605.2,103.8,91.9
2,0,478,1,4,38,605.2,103.8,91.9
2,0,478,12,5,38,605.2,103.8,91.9
2,0,478,10,6,38,605.2,103.8,91.9
3,0,16588,1,1,38,605.2,103.8,91.9
3,0,16588,0,2,38,605.2,103.8,91.9
3,0,16588,2,3,38,605.2,103.8,91.9
3,0,16588,86,4,38,605.2,103.8,91.9
3,0,16588,19,5,38,605.2,103.8,91.9
3,0,16588,5,6,38,605.2,103.8,91.9
4,0,6557,10,1,38,605.2,103.8,91.9
4,0,6557,25,2,38,605.2,103.8,91.9
4,0,6557,1,3,38,605.2,103.8,91.9
4,0,6557,23,4,38,605.2,103.8,91.9
4,0,6557,27,5,38,605.2,103.8,91.9
4,0,6557,15,6,38,605.2,103.8,91.9
5,0,2516,0,1,38,605.2,103.8,91.9
5,0,2516,2,2,38,605.2,103.8,91.9
5,0,2516,12,3,38,605.2,103.8,91.9
5,0,2516,30,4,38,605.2,103.8,91.9
5,0,2516,21,5,38,605.2,103.8,91.9
5,0,2516,2,6,38,605.2,103.8,91.9
6,0,1119,1,1,38,605.2,103.8,91.9
6,0,1119,0,2,38,605.2,103.8,91.9
6,0,1119,2,3,38,605.2,103.8,91.9
6,0,1119,3,4,38,605.2,103.8,91.9
6,0,1119,37,5,38,605.2,103.8,91.9
6,0,1119,38,6,38,605.2,103.8,91.9
7,0,2754,0,1,38,605.2,103.8,91.9
7,0,2754,3,2,38,605.2,103.8,91.9
7,0,2754,1,3,38,605.2,103.8,91.9
7,0,2754,94,4,38,605.2,103.8,91.9
7,0,2754,106,5,38,605.2,103.8,91.9
