counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,193,7,40,605.2,103.8,91.9
2,A,478,16,7,40,605.2,103.8,91.9
3,A,16588,95,7,40,605.2,103.8,91.9
4,A,6557,68,7,40,605.2,103.8,91.9
5,A,2516,34,7,40,605.2,103.8,91.9
6,A,1119,46,7,40,605.2,103.8,91.9
7,A,2754,89,7,40,605.2,103.8,91.9
1,B,354052,627,7,56,1003.5,327.68,18.3
2,B,77193,105,7,56,1003.5,327.68,18.3
3,B,31963,36,7,56,1003.5,327.68,18.3
4,B,11418,36,7,56,1003.5,327.68,18.3
5,B,12966,31,7,56,1003.5,327.68,18.3
6,B,6533,35,7,56,1003.5,327.68,18.3
7,B,33093,78,7,56,1003.5,327.68,18.3
1,C,13826,235,7,61,925.2,253.6,65.7
2,C,40714,396,7,61,925.2,253.6,65.7
3,C,26258,240,7,61,925.2,253.6,65.7
4,C,6433,130,7,61,925.2,253.6,65.7
5,C,1037,1,1,64,925.2,253.6,65.7
5,C,1037,12,7,61,925.2,253.6,65.7
6,C,353,9,7,61,925.2,253.6,65.7
7,C,639,18,7,61,925.2,253.6,65.7
