Tem,hPa,Lux,RH,Year,Count
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,7,0
38,605.2,103.8,91.9,8,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,7,0
38,605.2,103.8,91.9,8,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,7,0
38,605.2,103.8,91.9,8,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,7,0
38,605.2,103.8,91.9,8,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,7,0
38,605.2,103.8,91.9,8,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,7,1
70,1003.5,327.68,18.3,8,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,7,1
70,1003.5,327.68,18.3,8,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,7,1
70,1003.5,327.68,18.3,8,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,7,1
70,1003.5,327.68,18.3,8,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,7,1
70,1003.5,327.68,18.3,8,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,7,2
60,925.2,253.6,65.7,8,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,7,2
60,925.2,253.6,65.7,8,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,7,2
60,925.2,253.6,65.7,8,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,7,2
60,925.2,253.6,65.7,8,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,7,2
60,925.2,253.6,65.7,8,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
