counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,39,605.2,103.8,91.9
1,A,9828,1,2,40,605.2,103.8,91.9
1,A,9828,2,3,40,605.2,103.8,91.9
1,A,9828,46,4,40,605.2,103.8,91.9
1,A,9828,169,5,39,605.2,103.8,91.9
1,A,9828,58,6,35,605.2,103.8,91.9
1,A,9828,215,7,40,605.2,103.8,91.9
2,A,478,1,1,39,605.2,103.8,91.9
2,A,478,1,2,40,605.2,103.8,91.9
2,A,478,2,3,40,605.2,103.8,91.9
2,A,478,5,4,40,605.2,103.8,91.9
2,A,478,12,5,39,605.2,103.8,91.9
2,A,478,10,6,35,605.2,103.8,91.9
2,A,478,16,7,40,605.2,103.8,91.9
3,A,16588,1,1,39,605.2,103.8,91.9
3,A,16588,1,2,40,605.2,103.8,91.9
3,A,16588,2,3,40,605.2,103.8,91.9
3,A,16588,86,4,40,605.2,103.8,91.9
3,A,16588,45,5,39,605.2,103.8,91.9
3,A,16588,76,6,35,605.2,103.8,91.9
3,A,16588,443,7,40,605.2,103.8,91.9
4,A,6557,10,1,39,605.2,103.8,91.9
4,A,6557,25,2,40,605.2,103.8,91.9
4,A,6557,1,3,40,605.2,103.8,91.9
4,A,6557,23,4,40,605.2,103.8,91.9
4,A,6557,27,5,39,605.2,103.8,91.9
4,A,6557,49,6,35,605.2,103.8,91.9
4,A,6557,50,7,40,605.2,103.8,91.9
5,A,2516,1,1,39,605.2,103.8,91.9
5,A,2516,2,2,40,605.2,103.8,91.9
5,A,2516,12,3,40,605.2,103.8,91.9
5,A,2516,30,4,40,605.2,103.8,91.9
5,A,2516,21,5,39,605.2,103.8,91.9
5,A,2516,46,6,35,605.2,103.8,91.9
5,A,2516,40,7,40,605.2,103.8,91.9
6,A,1119,1,1,39,605.2,103.8,91.9
6,A,1119,1,2,40,605.2,103.8,91.9
6,A,1119,2,3,40,605.2,103.8,91.9
6,A,1119,3,4,40,605.2,103.8,91.9
6,A,1119,37,5,39,605.2,103.8,91.9
6,A,1119,38,6,35,605.2,103.8,91.9
6,A,1119,53,7,40,605.2,103.8,91.9
7,A,2754,1,1,39,605.2,103.8,91.9
7,A,2754,3,2,40,605.2,103.8,91.9
7,A,2754,1,3,40,605.2,103.8,91.9
7,A,2754,94,4,40,605.2,103.8,91.9
7,A,2754,106,5,39,605.2,103.8,91.9
7,A,2754,80,6,35,605.2,103.8,91.9
7,A,2754,89,7,40,605.2,103.8,91.9
1,B,354052,12,1,66,1003.5,327.68,18.3
1,B,354052,225,2,59,1003.5,327.68,18.3
1,B,354052,230,3,53,1003.5,327.68,18.3
1,B,354052,407,4,61,1003.5,327.68,18.3
1,B,354052,479,5,62,1003.5,327.68,18.3
1,B,354052,582,6,56,1003.5,327.68,18.3
1,B,354052,627,7,56,1003.5,327.68,18.3
2,B,77193,1,1,66,1003.5,327.68,18.3
2,B,77193,8,2,59,1003.5,327.68,18.3
2,B,77193,37,3,53,1003.5,327.68,18.3
2,B,77193,47,4,61,1003.5,327.68,18.3
2,B,77193,35,5,62,1003.5,327.68,18.3
2,B,77193,106,6,56,1003.5,327.68,18.3
2,B,77193,105,7,56,1003.5,327.68,18.3
3,B,31963,1,1,66,1003.5,327.68,18.3
3,B,31963,8,2,59,1003.5,327.68,18.3
3,B,31963,36,3,53,1003.5,327.68,18.3
3,B,31963,13,4,61,1003.5,327.68,18.3
3,B,31963,16,5,62,1003.5,327.68,18.3
3,B,31963,85,6,56,1003.5,327.68,18.3
3,B,31963,36,7,56,1003.5,327.68,18.3
4,B,11418,2,1,66,1003.5,327.68,18.3
4,B,11418,10,2,59,1003.5,327.68,18.3
4,B,11418,64,3,53,1003.5,327.68,18.3
4,B,11418,48,4,61,1003.5,327.68,18.3
4,B,11418,54,5,62,1003.5,327.68,18.3
4,B,11418,43,6,56,1003.5,327.68,18.3
4,B,11418,36,7,56,1003.5,327.68,18.3
5,B,12966,1,1,66,1003.5,327.68,18.3
5,B,12966,5,2,59,1003.5,327.68,18.3
5,B,12966,12,3,53,1003.5,327.68,18.3
5,B,12966,14,4,61,1003.5,327.68,18.3
5,B,12966,13,5,62,1003.5,327.68,18.3
5,B,12966,44,6,56,1003.5,327.68,18.3
5,B,12966,98,7,56,1003.5,327.68,18.3
6,B,6533,2,1,66,1003.5,327.68,18.3
6,B,6533,3,2,59,1003.5,327.68,18.3
6,B,6533,62,3,53,1003.5,327.68,18.3
6,B,6533,8,4,61,1003.5,327.68,18.3
6,B,6533,62,5,62,1003.5,327.68,18.3
6,B,6533,48,6,56,1003.5,327.68,18.3
6,B,6533,35,7,56,1003.5,327.68,18.3
7,B,33093,1,1,66,1003.5,327.68,18.3
7,B,33093,1,2,59,1003.5,327.68,18.3
7,B,33093,3,3,53,1003.5,327.68,18.3
7,B,33093,45,4,61,1003.5,327.68,18.3
7,B,33093,23,5,62,1003.5,327.68,18.3
7,B,33093,32,6,56,1003.5,327.68,18.3
7,B,33093,78,7,56,1003.5,327.68,18.3
1,C,13826,2,1,64,925.2,253.6,65.7
1,C,13826,5,2,60,925.2,253.6,65.7
1,C,13826,23,3,65,925.2,253.6,65.7
1,C,13826,60,4,70,925.2,253.6,65.7
1,C,13826,104,5,59,925.2,253.6,65.7
1,C,13826,92,6,65,925.2,253.6,65.7
1,C,13826,235,7,61,925.2,253.6,65.7
2,C,40714,1,1,64,925.2,253.6,65.7
2,C,40714,6,2,60,925.2,253.6,65.7
2,C,40714,132,3,65,925.2,253.6,65.7
2,C,40714,369,4,70,925.2,253.6,65.7
2,C,40714,243,5,59,925.2,253.6,65.7
2,C,40714,468,6,65,925.2,253.6,65.7
2,C,40714,235,7,61,925.2,253.6,65.7
3,C,26258,1,1,64,925.2,253.6,65.7
3,C,26258,46,2,60,925.2,253.6,65.7
3,C,26258,166,3,65,925.2,253.6,65.7
3,C,26258,167,4,70,925.2,253.6,65.7
3,C,26258,208,5,59,925.2,253.6,65.7
3,C,26258,194,6,65,925.2,253.6,65.7
3,C,26258,240,7,61,925.2,253.6,65.7
4,C,6433,2,1,64,925.2,253.6,65.7
4,C,6433,16,2,60,925.2,253.6,65.7
4,C,6433,65,3,65,925.2,253.6,65.7
4,C,6433,120,4,70,925.2,253.6,65.7
4,C,6433,150,5,59,925.2,253.6,65.7
4,C,6433,114,6,65,925.2,253.6,65.7
4,C,6433,130,7,61,925.2,253.6,65.7
5,C,1037,1,1,64,925.2,253.6,65.7
5,C,1037,2,2,60,925.2,253.6,65.7
5,C,1037,10,3,65,925.2,253.6,65.7
5,C,1037,6,4,70,925.2,253.6,65.7
5,C,1037,13,5,59,925.2,253.6,65.7
5,C,1037,10,6,65,925.2,253.6,65.7
5,C,1037,12,7,61,925.2,253.6,65.7
6,C,353,1,1,64,925.2,253.6,65.7
6,C,353,1,2,60,925.2,253.6,65.7
6,C,353,6,3,65,925.2,253.6,65.7
6,C,353,2,4,70,925.2,253.6,65.7
6,C,353,10,5,59,925.2,253.6,65.7
6,C,353,11,6,65,925.2,253.6,65.7
6,C,353,9,7,61,925.2,253.6,65.7
7,C,639,1,1,64,925.2,253.6,65.7
7,C,639,3,2,60,925.2,253.6,65.7
7,C,639,6,3,65,925.2,253.6,65.7
7,C,639,11,4,70,925.2,253.6,65.7
7,C,639,13,5,59,925.2,253.6,65.7
7,C,639,14,6,65,925.2,253.6,65.7
7,C,639,18,7,61,925.2,253.6,65.7
