Tem,hPa,Lux,RH,Year,Count
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
35,1010.7,115.4,82,1,2
35,1010.7,115.4,82,2,2
35,1010.7,115.4,82,3,2
35,1010.7,115.4,82,4,2
35,1010.7,115.4,82,5,2
35,1010.7,115.4,82,6,2
