counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,40,605.2,103.8,91.9
1,A,9828,1,2,40,605.2,103.8,91.9
1,A,9828,2,3,40,605.2,103.8,91.9
1,A,9828,46,4,40,605.2,103.8,91.9
1,A,9828,169,5,40,605.2,103.8,91.9
1,A,9828,58,6,40,605.2,103.8,91.9
2,A,478,1,1,40,605.2,103.8,91.9
2,A,478,1,2,40,605.2,103.8,91.9
2,A,478,1,3,40,605.2,103.8,91.9
2,A,478,1,4,40,605.2,103.8,91.9
2,A,478,12,5,40,605.2,103.8,91.9
2,A,478,10,6,40,605.2,103.8,91.9
3,A,16588,1,1,40,605.2,103.8,91.9
3,A,16588,1,2,40,605.2,103.8,91.9
3,A,16588,2,3,40,605.2,103.8,91.9
3,A,16588,86,4,40,605.2,103.8,91.9
3,A,16588,19,5,40,605.2,103.8,91.9
3,A,16588,5,6,40,605.2,103.8,91.9
4,A,6557,10,1,40,605.2,103.8,91.9
4,A,6557,25,2,40,605.2,103.8,91.9
4,A,6557,1,3,40,605.2,103.8,91.9
4,A,6557,23,4,40,605.2,103.8,91.9
4,A,6557,27,5,40,605.2,103.8,91.9
4,A,6557,15,6,40,605.2,103.8,91.9
5,A,2516,1,1,40,605.2,103.8,91.9
5,A,2516,2,2,40,605.2,103.8,91.9
5,A,2516,12,3,40,605.2,103.8,91.9
5,A,2516,30,4,40,605.2,103.8,91.9
5,A,2516,21,5,40,605.2,103.8,91.9
5,A,2516,2,6,40,605.2,103.8,91.9
6,A,1119,1,1,40,605.2,103.8,91.9
6,A,1119,1,2,40,605.2,103.8,91.9
6,A,1119,2,3,40,605.2,103.8,91.9
6,A,1119,3,4,40,605.2,103.8,91.9
6,A,1119,37,5,40,605.2,103.8,91.9
6,A,1119,38,6,40,605.2,103.8,91.9
7,A,2754,1,1,40,605.2,103.8,91.9
7,A,2754,3,2,40,605.2,103.8,91.9
7,A,2754,1,3,40,605.2,103.8,91.9
7,A,2754,94,4,40,605.2,103.8,91.9
7,A,2754,106,5,40,605.2,103.8,91.9
7,A,2754,80,6,40,605.2,103.8,91.9
1,B,354052,12,1,72,1003.5,327.68,18.3
1,B,354052,225,2,72,1003.5,327.68,18.3
1,B,354052,230,3,72,1003.5,327.68,18.3
1,B,354052,407,4,72,1003.5,327.68,18.3
1,B,354052,479,5,72,1003.5,327.68,18.3
1,B,354052,582,6,72,1003.5,327.68,18.3
1,B,354052,627,7,72,1003.5,327.68,18.3
2,B,77193,1,1,72,1003.5,327.68,18.3
2,B,77193,8,2,72,1003.5,327.68,18.3
2,B,77193,37,3,72,1003.5,327.68,18.3
2,B,77193,47,4,72,1003.5,327.68,18.3
2,B,77193,35,5,72,1003.5,327.68,18.3
2,B,77193,106,6,72,1003.5,327.68,18.3
2,B,77193,105,7,72,1003.5,327.68,18.3
3,B,31963,0,1,72,1003.5,327.68,18.3
3,B,31963,8,2,72,1003.5,327.68,18.3
3,B,31963,36,3,72,1003.5,327.68,18.3
3,B,31963,13,4,72,1003.5,327.68,18.3
3,B,31963,16,5,72,1003.5,327.68,18.3
3,B,31963,85,6,72,1003.5,327.68,18.3
3,B,31963,36,7,72,1003.5,327.68,18.3
4,B,11418,2,1,72,1003.5,327.68,18.3
4,B,11418,10,2,72,1003.5,327.68,18.3
4,B,11418,64,3,72,1003.5,327.68,18.3
4,B,11418,48,4,72,1003.5,327.68,18.3
4,B,11418,54,5,72,1003.5,327.68,18.3
4,B,11418,43,6,72,1003.5,327.68,18.3
4,B,11418,36,7,72,1003.5,327.68,18.3
5,B,12966,0,1,72,1003.5,327.68,18.3
5,B,12966,5,2,72,1003.5,327.68,18.3
5,B,12966,12,3,72,1003.5,327.68,18.3
5,B,12966,14,4,72,1003.5,327.68,18.3
5,B,12966,13,5,72,1003.5,327.68,18.3
5,B,12966,44,6,72,1003.5,327.68,18.3
5,B,12966,31,7,72,1003.5,327.68,18.3
6,B,6533,2,1,72,1003.5,327.68,18.3
6,B,6533,3,2,72,1003.5,327.68,18.3
6,B,6533,62,3,72,1003.5,327.68,18.3
6,B,6533,8,4,72,1003.5,327.68,18.3
6,B,6533,62,5,72,1003.5,327.68,18.3
6,B,6533,48,6,72,1003.5,327.68,18.3
6,B,6533,35,7,72,1003.5,327.68,18.3
7,B,33093,0,1,72,1003.5,327.68,18.3
7,B,33093,1,2,72,1003.5,327.68,18.3
7,B,33093,3,3,72,1003.5,327.68,18.3
7,B,33093,45,4,72,1003.5,327.68,18.3
7,B,33093,23,5,72,1003.5,327.68,18.3
7,B,33093,32,6,72,1003.5,327.68,18.3
7,B,33093,78,7,72,1003.5,327.68,18.3
