Tem,hPa,Lux,RH,Year,Count
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
38,605.2,103.8,91.9,1,0
38,605.2,103.8,91.9,2,0
38,605.2,103.8,91.9,3,0
38,605.2,103.8,91.9,4,0
38,605.2,103.8,91.9,5,0
38,605.2,103.8,91.9,6,0
35,1010.7,115.4,82,1,0
35,1010.7,115.4,82,2,0
35,1010.7,115.4,82,3,0
35,1010.7,115.4,82,4,0
35,1010.7,115.4,82,5,0
35,1010.7,115.4,82,6,0
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
70,1003.5,327.68,18.3,1,1
70,1003.5,327.68,18.3,2,1
70,1003.5,327.68,18.3,3,1
70,1003.5,327.68,18.3,4,1
70,1003.5,327.68,18.3,5,1
70,1003.5,327.68,18.3,6,1
35,1010.7,115.4,82,1,1
35,1010.7,115.4,82,2,1
35,1010.7,115.4,82,3,1
35,1010.7,115.4,82,4,1
35,1010.7,115.4,82,5,1
35,1010.7,115.4,82,6,1
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
60,925.2,253.6,65.7,1,2
60,925.2,253.6,65.7,2,2
60,925.2,253.6,65.7,3,2
60,925.2,253.6,65.7,4,2
60,925.2,253.6,65.7,5,2
60,925.2,253.6,65.7,6,2
